release_date,movie_title,bond_actor,car_manufacturer,income_usa,income_world,movie_budget,film_length,imdb,rotten_tomatoes,martinis_consumed,bond_kills,release_year
1962-06-01,Dr. No,Sean Connery,Sunbeam,1606703500.0,5956703500.0,100000000.0,110,7.3,7.7,2,4,1962
1963-08-01,From Russia with Love,Sean Connery,Bentley,2480000000.0,7890000000.0,200000000.0,115,7.5,8.0,0,11,1963
1964-05-01,Goldfinger,Sean Connery,Aston Martin,5110000000.0,12490000000.0,300000000.0,110,7.8,8.4,1,9,1964
1965-09-01,Thunderball,Sean Connery,Aston Martin,6360000000.0,14120000000.0,900000000.0,130,7.0,6.8,0,20,1965
1967-11-01,You Only Live Twice,Sean Connery,Toyota,4310000000.0,11160000000.0,950000000.0,117,6.9,6.3,1,21,1967
1969-07-01,On Her Majesty's Secret Service,George Lazenby,Mercury,2280000000.0,8200000000.0,800000000.0,142,6.8,6.7,1,5,1969
1971-03-01,Diamonds Are Forever,Sean Connery,Ford,4380000000.0,11600000000.0,720000000.0,120,6.7,6.3,0,7,1971
1973-08-01,Live and Let Die,Roger Moore,AMC,3540000000.0,16180000000.0,700000000.0,121,6.8,5.9,0,8,1973
1974-07-01,The Man with the Golden Gun,Roger Moore,AMC,2100000000.0,9760000000.0,700000000.0,125,6.7,5.1,0,1,1974
1977-04-01,The Spy Who Loved Me,Roger Moore,Lotus,4680000000.0,18540000000.0,1400000000.0,125,7.1,6.8,1,31,1977
1979-10-01,Moonraker,Roger Moore,Lotus,7030000000.0,21030000000.0,3100000000.0,126,6.2,5.7,1,12,1979
1981-06-01,For Your Eyes Only,Roger Moore,Citroen,5480000000.0,19530000000.0,2800000000.0,127,6.8,6.3,0,18,1981
1983-03-01,Octopussy,Roger Moore,Bajaj,6790000000.0,18750000000.0,2750000000.0,131,6.5,5.3,0,15,1983
1985-10-01,A View to a Kill,Roger Moore,Rolls Royce,5032796000.0,15262796000.0,3000000000.0,131,6.2,4.7,0,5,1985
1987-05-01,The Living Daylights,Timothy Dalton,Rolls Royce,5118500000.0,19120000000.0,4000000000.0,130,6.7,6.3,2,13,1987
1989-01-01,License to Kill,Timothy Dalton,Aston Martin,3466701500.0,15616701500.0,4200000000.0,133,6.5,6.0,1,10,1989
1995-09-01,GoldenEye,Pierce Brosnan,BMW,10642994100.0,35642994100.0,6000000000.0,130,7.2,6.9,1,47,1995
1997-07-01,Tomorrow Never Dies,Pierce Brosnan,Aston Martin,12530427600.0,33950427600.0,11000000000.0,119,6.4,6.0,1,30,1997
1999-06-01,The World Is Not Enough,Pierce Brosnan,BMW,12693066000.0,36173066000.0,13500000000.0,128,6.3,5.7,1,27,1999
2002-08-01,Die Another Day,Pierce Brosnan,Aston Martin,16094213900.0,43194213900.0,14200000000.0,133,6.0,6.1,2,31,2002
2006-02-01,Casino Royale,Daniel Craig,Aston Martin,16736500000.0,59636500000.0,10200000000.0,144,7.9,7.8,3,11,2006
2008-12-01,Quantum of Solace,Daniel Craig,Aston Martin,16936842700.0,59169207800.0,23000000000.0,106,6.7,6.1,6,16,2008
2012-11-01,Skyfall,Daniel Craig,Aston Martin,30436027700.0,110856110800.0,20000000000.0,143,7.8,8.2,1,26,2012
2015-09-01,Spectre,Daniel Craig,Aston Martin,20007417500.0,87962092300.0,24500000000.0,148,6.8,6.4,1,30,2015
2021-11-01,No Time to Die,Daniel Craig,Aston Martin,16089100700.0,75995966200.0,27500000000.0,163,7.3,7.3,1,14,2021
